mes_referencia,faixa_etaria,sexo,uf,total,com_sintoma,pct_com_sintoma_chave
9,10-19,Homem,Mato Grosso do Sul,641,11,0.0172
9,10-19,Homem,Minas Gerais,2455,35,0.0143
9,10-19,Homem,Paraná,1420,30,0.0211
9,10-19,Homem,Paraíba,786,14,0.0178
9,10-19,Homem,Pará,1142,26,0.0228
9,10-19,Homem,Pernambuco,1351,17,0.0126
9,10-19,Homem,Piauí,643,8,0.0124
9,10-19,Homem,Rio Grande do Norte,638,13,0.0204
9,10-19,Homem,Rio Grande do Sul,1394,34,0.0244
9,10-19,Homem,Rio de Janeiro,1830,12,0.0066
9,10-19,Homem,Rondônia,384,11,0.0286
9,10-19,Homem,Roraima,526,6,0.0114
9,10-19,Homem,Santa Catarina,1436,17,0.0118
9,10-19,Homem,Sergipe,662,20,0.0302
9,10-19,Homem,São Paulo,2216,30,0.0135
9,10-19,Homem,Tocantins,440,5,0.0114
9,10-19,Mulher,Acre,580,16,0.0276
9,10-19,Mulher,Alagoas,1006,22,0.0219
9,10-19,Mulher,Amapá,275,11,0.04
9,10-19,Mulher,Amazonas,1003,15,0.015
9,10-19,Mulher,Bahia,1352,18,0.0133
9,10-19,Mulher,Ceará,1271,30,0.0236
9,10-19,Mulher,Distrito Federal,473,9,0.019
9,10-19,Mulher,Espírito Santo,1008,10,0.0099
9,10-19,Mulher,Goiás,959,22,0.0229
9,10-19,Mulher,Maranhão,2036,43,0.0211
9,10-19,Mulher,Mato Grosso,851,22,0.0259
9,10-19,Mulher,Mato Grosso do Sul,637,9,0.0141
9,10-19,Mulher,Minas Gerais,2257,42,0.0186
9,10-19,Mulher,Paraná,1297,25,0.0193
9,10-19,Mulher,Paraíba,799,22,0.0275
9,10-19,Mulher,Pará,1080,35,0.0324
9,10-19,Mulher,Pernambuco,1261,20,0.0159
9,10-19,Mulher,Piauí,675,9,0.0133
9,10-19,Mulher,Rio Grande do Norte,598,18,0.0301
9,10-19,Mulher,Rio Grande do Sul,1257,30,0.0239
9,10-19,Mulher,Rio de Janeiro,1698,16,0.0094
9,10-19,Mulher,Rondônia,352,10,0.0284
9,10-19,Mulher,Roraima,506,10,0.0198
9,10-19,Mulher,Santa Catarina,1452,21,0.0145
9,10-19,Mulher,Sergipe,695,18,0.0259
9,10-19,Mulher,São Paulo,2118,33,0.0156
9,10-19,Mulher,Tocantins,408,13,0.0319
9,20-29,Homem,Acre,493,12,0.0243
9,20-29,Homem,Alagoas,829,11,0.0133
9,20-29,Homem,Amapá,274,10,0.0365
9,20-29,Homem,Amazonas,851,13,0.0153
9,20-29,Homem,Bahia,1167,31,0.0266
9,20-29,Homem,Ceará,1273,26,0.0204
9,20-29,Homem,Distrito Federal,470,16,0.034
9,20-29,Homem,Espírito Santo,1003,22,0.0219
9,20-29,Homem,Goiás,928,29,0.0312
9,20-29,Homem,Maranhão,1494,40,0.0268
9,20-29,Homem,Mato Grosso,816,24,0.0294
9,20-29,Homem,Mato Grosso do Sul,578,14,0.0242
9,20-29,Homem,Minas Gerais,2212,53,0.024
9,20-29,Homem,Paraná,1316,27,0.0205
9,20-29,Homem,Paraíba,707,12,0.017
9,20-29,Homem,Pará,883,23,0.026
9,20-29,Homem,Pernambuco,1189,16,0.0135
9,20-29,Homem,Piauí,574,16,0.0279
9,20-29,Homem,Rio Grande do Norte,561,12,0.0214
9,20-29,Homem,Rio Grande do Sul,1340,38,0.0284
9,20-29,Homem,Rio de Janeiro,1828,32,0.0175
9,20-29,Homem,Rondônia,395,12,0.0304
9,20-29,Homem,Roraima,473,15,0.0317
9,20-29,Homem,Santa Catarina,1594,31,0.0194
9,20-29,Homem,Sergipe,583,17,0.0292
9,20-29,Homem,São Paulo,2102,39,0.0186
9,20-29,Homem,Tocantins,381,8,0.021
9,20-29,Mulher,Acre,550,14,0.0255
9,20-29,Mulher,Alagoas,913,15,0.0164
9,20-29,Mulher,Amapá,247,6,0.0243
9,20-29,Mulher,Amazonas,818,25,0.0306
9,20-29,Mulher,Bahia,1226,27,0.022
9,20-29,Mulher,Ceará,1296,32,0.0247
9,20-29,Mulher,Distrito Federal,459,23,0.0501
9,20-29,Mulher,Espírito Santo,1077,20,0.0186
9,20-29,Mulher,Goiás,916,36,0.0393
9,20-29,Mulher,Maranhão,1596,48,0.0301
9,20-29,Mulher,Mato Grosso,808,25,0.0309
9,20-29,Mulher,Mato Grosso do Sul,633,16,0.0253
9,20-29,Mulher,Minas Gerais,2279,62,0.0272
9,20-29,Mulher,Paraná,1270,22,0.0173
9,20-29,Mulher,Paraíba,656,24,0.0366
9,20-29,Mulher,Pará,918,33,0.0359
9,20-29,Mulher,Pernambuco,1266,18,0.0142
9,20-29,Mulher,Piauí,601,5,0.0083
9,20-29,Mulher,Rio Grande do Norte,571,12,0.021
9,20-29,Mulher,Rio Grande do Sul,1339,52,0.0388
9,20-29,Mulher,Rio de Janeiro,1858,26,0.014
9,20-29,Mulher,Rondônia,426,7,0.0164
9,20-29,Mulher,Roraima,486,11,0.0226
9,20-29,Mulher,Santa Catarina,1550,33,0.0213
9,20-29,Mulher,Sergipe,670,22,0.0328
9,20-29,Mulher,São Paulo,2068,49,0.0237
9,20-29,Mulher,Tocantins,339,15,0.0442
9,30-39,Homem,Acre,508,8,0.0157
9,30-39,Homem,Alagoas,728,11,0.0151
9,30-39,Homem,Amapá,198,10,0.0505
9,30-39,Homem,Amazonas,743,28,0.0377
9,30-39,Homem,Bahia,1205,26,0.0216
9,30-39,Homem,Ceará,1261,27,0.0214
9,30-39,Homem,Distrito Federal,450,19,0.0422
9,30-39,Homem,Espírito Santo,1167,27,0.0231
9,30-39,Homem,Goiás,943,31,0.0329
9,30-39,Homem,Maranhão,1499,36,0.024
9,30-39,Homem,Mato Grosso,835,17,0.0204
9,30-39,Homem,Mato Grosso do Sul,655,12,0.0183
9,30-39,Homem,Minas Gerais,2406,63,0.0262
9,30-39,Homem,Paraná,1336,32,0.024
9,30-39,Homem,Paraíba,708,18,0.0254
9,30-39,Homem,Pará,866,25,0.0289
9,30-39,Homem,Pernambuco,1173,24,0.0205
9,30-39,Homem,Piauí,647,17,0.0263
9,30-39,Homem,Rio Grande do Norte,619,22,0.0355
9,30-39,Homem,Rio Grande do Sul,1482,59,0.0398
9,30-39,Homem,Rio de Janeiro,1931,24,0.0124
9,30-39,Homem,Rondônia,379,10,0.0264
9,30-39,Homem,Roraima,420,14,0.0333
9,30-39,Homem,Santa Catarina,1723,42,0.0244
9,30-39,Homem,Sergipe,578,18,0.0311
9,30-39,Homem,São Paulo,2284,55,0.0241
9,30-39,Homem,Tocantins,365,11,0.0301
9,30-39,Mulher,Acre,523,17,0.0325
9,30-39,Mulher,Alagoas,898,27,0.0301
9,30-39,Mulher,Amapá,214,9,0.0421
9,30-39,Mulher,Amazonas,789,23,0.0292
9,30-39,Mulher,Bahia,1399,46,0.0329
9,30-39,Mulher,Ceará,1419,38,0.0268
9,30-39,Mulher,Distrito Federal,493,13,0.0264
9,30-39,Mulher,Espírito Santo,1299,36,0.0277
9,30-39,Mulher,Goiás,1068,46,0.0431
9,30-39,Mulher,Maranhão,1722,61,0.0354
9,30-39,Mulher,Mato Grosso,911,42,0.0461
9,30-39,Mulher,Mato Grosso do Sul,701,24,0.0342
9,30-39,Mulher,Minas Gerais,2570,83,0.0323
9,30-39,Mulher,Paraná,1408,46,0.0327
9,30-39,Mulher,Paraíba,829,36,0.0434
9,30-39,Mulher,Pará,1020,40,0.0392
9,30-39,Mulher,Pernambuco,1353,35,0.0259
9,30-39,Mulher,Piauí,635,14,0.022
9,30-39,Mulher,Rio Grande do Norte,645,27,0.0419
9,30-39,Mulher,Rio Grande do Sul,1574,63,0.04
9,30-39,Mulher,Rio de Janeiro,2173,41,0.0189
9,30-39,Mulher,Rondônia,401,20,0.0499
9,30-39,Mulher,Roraima,438,14,0.032
9,30-39,Mulher,Santa Catarina,1886,49,0.026
9,30-39,Mulher,Sergipe,668,23,0.0344
9,30-39,Mulher,São Paulo,2568,66,0.0257
9,30-39,Mulher,Tocantins,391,16,0.0409
9,40-49,Homem,Acre,397,5,0.0126
9,40-49,Homem,Alagoas,750,14,0.0187
9,40-49,Homem,Amapá,176,4,0.0227
9,40-49,Homem,Amazonas,724,28,0.0387
9,40-49,Homem,Bahia,1176,16,0.0136
9,40-49,Homem,Ceará,1034,22,0.0213
9,40-49,Homem,Distrito Federal,409,14,0.0342
9,40-49,Homem,Espírito Santo,1066,16,0.015
9,40-49,Homem,Goiás,1001,33,0.033
9,40-49,Homem,Maranhão,1241,38,0.0306
9,40-49,Homem,Mato Grosso,830,22,0.0265
9,40-49,Homem,Mato Grosso do Sul,626,11,0.0176
9,40-49,Homem,Minas Gerais,2426,51,0.021
9,40-49,Homem,Paraná,1424,23,0.0162
9,40-49,Homem,Paraíba,622,9,0.0145
9,40-49,Homem,Pará,804,16,0.0199
9,40-49,Homem,Pernambuco,1108,22,0.0199
9,40-49,Homem,Piauí,544,11,0.0202
9,40-49,Homem,Rio Grande do Norte,517,8,0.0155
9,40-49,Homem,Rio Grande do Sul,1399,47,0.0336
9,40-49,Homem,Rio de Janeiro,1951,31,0.0159
9,40-49,Homem,Rondônia,356,11,0.0309
9,40-49,Homem,Roraima,326,11,0.0337
9,40-49,Homem,Santa Catarina,1677,32,0.0191
9,40-49,Homem,Sergipe,546,10,0.0183
9,40-49,Homem,São Paulo,2303,41,0.0178
9,40-49,Homem,Tocantins,365,15,0.0411
9,40-49,Mulher,Acre,473,14,0.0296
9,40-49,Mulher,Alagoas,865,18,0.0208
9,40-49,Mulher,Amapá,224,14,0.0625
9,40-49,Mulher,Amazonas,752,31,0.0412
9,40-49,Mulher,Bahia,1388,43,0.031
9,40-49,Mulher,Ceará,1227,38,0.031
9,40-49,Mulher,Distrito Federal,572,19,0.0332
9,40-49,Mulher,Espírito Santo,1238,39,0.0315
9,40-49,Mulher,Goiás,1141,52,0.0456
9,40-49,Mulher,Maranhão,1342,53,0.0395
9,40-49,Mulher,Mato Grosso,880,32,0.0364
9,40-49,Mulher,Mato Grosso do Sul,694,18,0.0259
9,40-49,Mulher,Minas Gerais,2634,85,0.0323
9,40-49,Mulher,Paraná,1669,50,0.03
9,40-49,Mulher,Paraíba,777,19,0.0245
9,40-49,Mulher,Pará,873,37,0.0424
9,40-49,Mulher,Pernambuco,1295,36,0.0278
9,40-49,Mulher,Piauí,650,17,0.0262
9,40-49,Mulher,Rio Grande do Norte,570,14,0.0246
9,40-49,Mulher,Rio Grande do Sul,1594,48,0.0301
9,40-49,Mulher,Rio de Janeiro,2330,42,0.018
9,40-49,Mulher,Rondônia,395,16,0.0405
9,40-49,Mulher,Roraima,356,14,0.0393
9,40-49,Mulher,Santa Catarina,1785,52,0.0291
9,40-49,Mulher,Sergipe,647,21,0.0325
9,40-49,Mulher,São Paulo,2600,66,0.0254
9,40-49,Mulher,Tocantins,384,16,0.0417
9,50-59,Homem,Acre,310,9,0.029
9,50-59,Homem,Alagoas,586,11,0.0188
9,50-59,Homem,Amapá,126,2,0.0159
9,50-59,Homem,Amazonas,480,25,0.0521
9,50-59,Homem,Bahia,994,24,0.0241
9,50-59,Homem,Ceará,984,23,0.0234
9,50-59,Homem,Distrito Federal,395,12,0.0304
